designation,source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
"Gaia DR3 5966503902583923968",5966503902583923968,253.51895420185832,-41.85629569254533,,,,,20.601974,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 5966502837432099456",5966502837432099456,253.5838086589861,-41.88823196012417,-0.09509863207906422,-2.8907576241300044,-3.6476412583840516,1.134262,,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 5966502841721067520",5966502841721067520,253.58862124795198,-41.88845554727332,1.3676249468949482,-1.23964637914472,-2.2293359410961084,1.0412332,18.57139,3.3281364,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 5966502841724665344",5966502841724665344,253.5882626309827,-41.88882880880842,0.7314026926713254,-0.2001598184796006,-2.0782840783137546,1.0627732,16.70621,1.8958721,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,4709.7173,4.2706,-1.3646,840.9564,1.8291,1.3648,0.7492
"Gaia DR3 5966502841724665856",5966502841724665856,253.58359990013815,-41.887909671619354,,,,,20.69626,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 5966502841736068608",5966502841736068608,253.58540412108212,-41.8864537658319,,,,,20.932737,2.7706356,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 5966502974863073408",5966502974863073408,253.544295197826,-41.89117184504016,0.6160117171315437,-0.19954096708944136,-3.701880744994946,1.0827972,19.480549,1.619257,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 5966502974864386048",5966502974864386048,253.54301132315166,-41.89188240165055,0.04435752347414846,2.0373112844668335,-0.7074414500772639,1.1141084,18.18371,3.694563,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,4448.7715,4.1234,-0.1915,491.0181,6.6759,4.3336,2.4305
"Gaia DR3 5966502974871013248",5966502974871013248,253.54389246832574,-41.88981143825366,0.5400058539185206,-3.302505451156673,-4.494262235467769,0.9955189,20.014866,2.4130363,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 5966502974878188928",5966502974878188928,253.54561644269344,-41.89192449862052,0.594512221938312,-0.5685121480045324,-1.9245919718591327,1.0260721,18.225546,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
"Gaia DR3 5966502979160082816",5966502979160082816,253.54950902301687,-41.89454780500005,0.3971369339458365,-0.22173408025846975,-5.20114773447711,0.96441007,20.06689,2.0501156,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
